"Edit","Undo","⌘Z","In Dialogs and Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Text Editing","Delete Next Word","⌥D","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Text Editing","Text End","Esc ⇧>","Editing Text"
"File","Save All","⌃X S","In Windows"
"Terminal view commands","Copy","⌘C","Terminal Widget in Focus"
"Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Navigate","Next","⌘.","In Windows"
"Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Text Editing","Previous Word","⌥B","Editing Text"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Source","Go to Next Member","⌃⌥↓","C/C++ Editor"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Navigate","Open Resource","⌥⌘O","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"File","New menu","⌥⌘N","In Windows"
"Edit","Incremental Find Reverse","⌃R","Editing Text"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"File","Print","⌘P","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Source","Comment/Uncomment","⌘/","C/C++ Editor"
"Terminal view commands","Copy","⌘Insert","Terminal Widget in Focus"
"Source","Declaration","⌘G","C/C++ Editor"
"Text Editing","Set Mark","⌃Space","Editing Text"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Edit","Select Previous C/C++ Element","⇧⌃←","C/C++ Editor"
"Text Editing","Line Down","⌃N","Editing Text"
"Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Line End","⌃E","Editing Text"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"UML2 Sequence Diagram Viewer Commands","Show node end","⇧⌥↘","UML2 Sequence Diagram Viewer"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Views","Show View (Outline)","⌘2","In Windows"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Navigate","Quick Outline","⌃6","Task Markup Editor Source Context"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Edit","Find and Replace","Esc R","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Navigate","Next Page","⌥F7","In Windows"
"Edit","Redo","F10","In Windows"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Run/Debug","Step Return","F7","Debugging"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"File","Rename","F2","In Windows"
